title,Manually Entered?,Image,Image Caption,Image Source,Rights Holder,Description,Author,Editor,Translator,Type,Original Language,Copyright Status,Copyright Date
L. E. L. A Mystery of the Thirties,,LELAMysteryOfTheThirties_001.tif,"Daniel Maclise, front cover of ""L. E. L. A Mystery of the Thirties"" ",Bruce Peel Library,,"A biography of the early 19th century female novelist, L. E. L. (Letitia Elizabeth Landon), whose works were not terribly well-known in the modernist period, although they received significant renewed attention from feminist critics in the 1970s, including Germaine Greer.",D. E. Enfield,,,Biography,English,,1928
Cock Robin's Decease,,,,,,"This book, written by the editor of the ""Sixpenny Poets"" series published by Benn, dicusses the difficulty of publishing poetry following WWI. With a serious attention to matters of the sale and marketing of poetry, Thompson describes what he calls the ""sixpennying"" of poetry as an undervaluing of the genre by a wide public. He sets up the book as what he calls ""An Irregular Inquest"" in which he enacts a trial for the crime of killing poetry. He acquits poets, publishers and the public, and condemns reviewers and their editors. Thompson makes reference to the sad state of publishing new writing, but notes that he can see ""one partial exception"" to his statement that new poets will not be accepted by publishers, but that ""since he is publishing this essay, I cannot say what I think of the poetry he publishes."" Since the essay was not previously published, it can be assumed that he refers to Leonard Woolf. He continues, in a statement that reinforces Leonard's own summaries of the Press's mission: ""(My opinion would be quite respectful, but, in brief, I think his activities here valuable chiefly as a part of his effort towards freedom and freshness of thinking)"" (11).",Edward Thompson,,,Literary Criticism,English,,1928
The Enjoyment of Music,,6438.jpg,"Vanessa Bell, front cover of ""The Enjoyment of Music""",E.J. Pratt Library,Henrietta Garnett,"Like many of the books about the reading public, this text focuses on the consumption of music rather than the production of it. It makes suggestions for practices of enjoying music.",Basil De Selincourt,,,Music,English,,1928
Proust,,,,,,Bell's literary study of Proust's influence in England. This text has obvious relevance for the introduction to Proust's important role in the development of autobiography and indeed of literary technique and style more generally.,Clive Bell,,,Literary Criticism,English,,1928
Imperialism and Civilization,,,,,,Leonard Woolf's monograph on the effect of Imperialism on the broader concept of civilization and on contemporary politics and human rights.,Leonard Woolf,,,Politics,English,,1928
The Northern Saga,,6332.jpg,"dust jacket of ""The Northern Saga""",E.J. Pratt Library,Penguin Random House Archive and Library,"This collection contains prose translations of ninth century Icelandic sagas. There is an introduction that details the features of this genre and provides historical context. The stories are presented as truthful accounts, but with reservations about the reliability of the documents: ""when we say the stories are 'true', we must remember in what sense truth is predicated of them. They are the truth of a highly superstitious and imaginative age and nation"" (27-8).",E. E. Kellett,,,Novel,English,,1929
Danger Zones of Europe: A Study of National Minorities,,6238.jpg,"dust jacket of ""Danger Zones of Europe: A Study of National Minorities""",E.J. Pratt Library,Penguin Random House Archive and Library,Merttens Lecture,John Stephens,,,Politics,English,,1929
White Capital & Coloured Labour,,,,,,"A second account of African slavery by Lord Olivier and a follow up to The Anatomy of African Misery, below.",Lord Olivier,,,Politics,English,,1929
The Reign of Law A Short and Simple Introduction to the Work of the Permanent Court of International Justice,,6444.jpg,"front cover of ""The Reign of Law A Short and Simple Introduction to the Work of the Permanent Court of International Justice""",E.J. Pratt Library,Penguin Random House Archive and Library,Subtitled: A Short and Simple Introduction to the Work of the Permanent Court of International Justice,Kathleen Innes,,,Politics,English,,1929
The Common Sense of World Peace,,worldpeace_002_front.jpg,"dust jacket of ""The Common Sense of World Peace""",Bruce Peel Library,Penguin Random House Archive and Library,An address delivered in the Reichstag at Berlin in 1929.,H. G. Wells,,,Politics,English,,1929
Cawdor,,6352.jpg,"dust jacket of ""Cawdor""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Living Poets,Robinson Jeffers,,,Poetry,English,,1929
Transitional Poem,,,,,,"Long poem about all sorts of trivial things. Rife with classical references that serve mostly to obliquely invoke myths while debunking them. For example 'Once I was Cicero, though pedant fate /Now bids me learn the grammar of my days.'",Cecil Day-Lewis,,,Poetry,English,,1929
The Family Tree,,6289.jpg,"front cover of ""The Family Tree""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Living Poets,William Plomer,,,Poetry,English,,1929
The China Cupboard and Other Poems,,TheChinaCupboardAndOtherPoems_001.tif,"Vanessa Bell, front cover of ""The China Cupboard and Other Poems"" ",Bruce Peel Library ,Henrietta Garnett,Hogarth Living Poets,Ida Graves,,,Poetry,English,,1929
King's Daughter,,6333.jpg,"Vanessa Bell, dust jacket of ""King's Daughter""",E.J. Pratt Library,Henrietta Garnett,Hogarth Living Poets,Vita Sackville-West,,,Poetry,English,,1929
Time and Memory,,TimeAndMemory_001.tif,"Vanessa Bell, front cover of ""Time and Memory"" ",Bruce Peel Library ,Henrietta Garnett,Hogarth Living Poets,F. L. Lucas,,,Poetry,English,,1929
The Passing of Guto and Other Poems,,ThePassingOfGutoAndOtherPoems_001.tif,"Vanessa Bell, front cover of ""The Passing of Guto and Other Poems"" ",Bruce Peel Library ,Henrietta Garnett,Hogarth Living Poets,Huw Menai,,,Poetry,English,,1929
Cambridge Poetry 1929,,6396.jpg,"Vanessa Bell, dust jacket of ""Cambridge Poetry 1929""",E.J. Pratt Library,Henrietta Garnett,"Previously included in the Living Poets series, the annual anthologies of Cambridge poetry were edited and produced each year by undergraduates.",,Christopher Saltmarshe|John Davenport|Basil Wright,,Poetry,English,,1929
The Death of My Aunt,,6299.jpg,"Richard Kennedy, dust jacket of ""The Death of My Aunt""",E.J. Pratt Library,"Rachel Ansari, John Kennedy and Elizabeth Stacey","Kitchin's first detective novel, this book contains the interesting and often conventional crime genre declaration that the story contains no resemblance to any events nor to any person living or dead. Diane Gillespie has written on Detective fiction at the Press, focusing on Kitchin.",C. H. B. Kitchin,,,Novel,English,,1929
A Room of One's Own,,,,,,"The published version of a lecture delivered at Girton College, Cambridge, Woolf's famous feminist tract argues for the material necessity of a room of one's own and five hundred pounds a year in order for a woman to be a writer.",Virginia Woolf,,,Novel,English,,1929
The Hoax,,6439.jpg,"dust jacket of ""The Hoax""",E.J. Pratt Library,Penguin Random House Archive and Library,"A novel about a sixty-year old author whose ""puppets were really sad at the bottom"" and who writes little fables which he carries around with him in his pockets. The writer lives with his brother Giulio, who humours him in his illusions of success. They live a regime governed by persistent habits and are essentially unflappable in their practices. The story is told somewhat in the manner of a fable.",Italo Svevo,,,Novel,English,,1929
The Voyage Out,,6453.jpg,"dust jacket of ""The Voyage Out""",E.J. Pratt Library,Penguin Random House Archive and Library,,Virginia Woolf,,,Novel,English,,1929
Nature Has No Tune,,6420.jpg,"dust jacket of ""Nature Has No Tune""",E.J. Pratt Library,Penguin Random House Archive and Library,"The first novel by Edmund Blunden's wife, this novel, according to the dust jacket is ""the history of a lovers' suicide in a medieval castle [which] has so influenced its present lodgers that each one, bound by a different tie to this tradition, finds in it the reason of his stay. Suggestion, nerves, and the clash of varied personalities lead a modern couple to believe their destiny entangled with the old. Disillusionment comes suddenly and with diverse and amusing effects. Ironically, the consequent adjustment leads them back to a position that is virtually unchanged.""",Sylva Norman,,,Novel,English,,1929
Night and Day,,,,,,,Virginia Woolf,,,Novel,English,,1929
An Outline of Musical History,,AnOutlineOfMusicalHistory_001.tif,"front cover of ""An Outline of Musical History"" ",Bruce Peel Library,Penguin Random House Archive and Library,Vol. 1 from the Earliest Times to Handel and Bach by Thos. J. Hewitt; Vol. 2 from C. P. E. Bach to Modern Music by Ralph Hill,Thos J. Hewitt|Ralph Hill,,,Music,English,,1929
Politics and Literature,,,,,,Chronological organized history of politics & lit. Introduction stresses the inextricability of form from content even in politically engaged literature and cites poetry as the highest of all forms in combining style and substance.,G. D. H. Cole,,,Literary Criticism,English,,1929
The Whirligig of Taste,,whirligigtaste_002_front,"dust jacket of ""The Whirligig of Taste""",Bruce Peel Library,Penguin Random House Archive and Library,Hogarth Lectures on Literature,E. E. Kellett,,,Literary Criticism,English,,1929
Lies and Hate in Education,,6418.jpg,"dust jacket of ""Lies and Hate in Education""",E.J. Pratt Library,Penguin Random House Archive and Library,"A polemical treatise against the view that all education must be positive and edifying. This book aims "" to show some of the modern dangers in education."" Starr does this by offering a study of textbooks in different country and close reading them to discover the biases and ""mental dictatorships"" they produce. He suggests that the primary problems are those of nationalism and class prejudice. Starr also offers some survey results of young children replying to questions about whether their country is better than other countries and also about how war relates to history. Also a bias detected against the working classes. History, in the figuration of the textbooks that Starr examines, is more interested in those who eat the bread than those who make it. In later chapters, Starr reveals prejudices against teachers who are conscientious objectors or communists or atheists.",Mark Starr,,,Education,English,,1929
